"Week","Label1","mean_deaths_per_capita","Period","deaths_per_capita","weekly_pop","Year","weekly_excess_rate","weekly_excess_number"
30,"80 and over",0.00238531212312754,2013-07-28,0.00187892885824264,157004.347826087,2013,-0.000506383264884895,-79.5043742532976
30,"80 and over",0.00238531212312754,2014-07-27,0.002392511485223,160082.826086957,2014,7.19936209546716e-06,1.1524942302657
30,"80 and over",0.00238531212312754,2015-07-26,0.00243925627858085,162344.565217391,2015,5.39441554533145e-05,8.75754046308771
30,"80 and over",0.00238531212312754,2016-07-24,0.00218681711211968,165537.391304348,2016,-0.000198495011007852,-32.8583463091676
30,"80 and over",0.00238531212312754,2017-07-23,0.00275563720406531,168745,2017,0.00037032508093777,62.490505782844
30,"80 and over",0.00238531212312754,2018-07-29,0.00231754672564655,172596.304347826,2018,-6.77653974809839e-05,-11.6960571678793
30,"80 and over",0.00238531212312754,2019-07-28,0.00222730329522529,177793.47826087,2019,-0.00015800882790225,-28.0929391086641
30,"80 and over",0.00238531212312754,2020-07-26,0.00175284796884241,185983.043478261,2020,-0.000632464154285121,-117.627608304851
30,"80 and over",0.00238531212312754,2021-07-25,0.00201865057597367,195179.891304348,2021,-0.000366661547153866,-71.5649609189756
31,"Under 30",7.6141064798182e-06,2011-07-31,9.40170755207187e-06,1808182.17391304,2011,1.78760107225367e-06,3.23230839291693
31,"Under 30",7.6141064798182e-06,2012-07-29,1.21654603586911e-05,1808398.47826087,2012,4.55135387887294e-06,8.23066142858053
31,"Under 30",7.6141064798182e-06,2013-08-04,7.71014084655431e-06,1815790.43478261,2013,9.60343667361063e-08,0.174378284529827
31,"Under 30",7.6141064798182e-06,2014-08-03,8.66788708004323e-06,1845893.91304348,2014,1.05378060022502e-06,1.94516719563867
31,"Under 30",7.6141064798182e-06,2015-08-02,9.0168362320002e-06,1885361.95652174,2015,1.40272975218199e-06,2.6446533100451
31,"Under 30",7.6141064798182e-06,2016-07-31,7.26650663426978e-06,1926647.93478261,2016,-3.47599845548422e-07,-0.66970252455662
31,"Under 30",7.6141064798182e-06,2017-07-30,7.66088695306541e-06,1957997.82608696,2017,4.67804732472056e-08,0.0915960649213477
31,"Under 30",7.6141064798182e-06,2018-08-05,8.09474013464544e-06,1976592.17391304,2018,4.8063365482724e-07,0.950016720650745
31,"Under 30",7.6141064798182e-06,2019-08-04,6.03156244511019e-06,1989534.23913043,2019,-1.58254403470802e-06,-3.14852554198322
31,"Under 30",7.6141064798182e-06,2020-08-02,6.97958584936656e-06,2005849.67391304,2020,-6.34520630451647e-07,-1.27275299968253
31,"Under 30",7.6141064798182e-06,2021-08-01,6.55622389570385e-06,1982848.69565217,2021,-1.05788258411435e-06,-2.09762110206429
31,"30 to 59",4.2442407309537e-05,2011-07-31,4.55005405662048e-05,1758220.86956522,2011,3.05813325666782e-06,5.37687371378481
31,"30 to 59",4.2442407309537e-05,2012-07-29,4.60748688177011e-05,1758008.26086957,2012,3.6324615081641e-06,6.38589733864321
31,"30 to 59",4.2442407309537e-05,2013-08-04,3.34663375686829e-05,1762965.54347826,2013,-8.97606974085405e-06,-15.8245016689835
